ElapsedTime,CurrentSOC,TargetSOC,PredictedSOC,Power,Status,TargetPower
00:11:23,0.0,0.0,0.0,0,Standby,0.0
00:11:47,0.0,0.0,0.0,0,Standby,0.0
00:12:12,0.0,0.0,0.0,0,Standby,0.0
00:12:36,0.0,0.0,0.0,0,Standby,0.0
00:13:00,0.0,0.0,0.0,0,Standby,0.0
00:13:24,0.0,0.0,0.0,0,Standby,0.0
00:13:52,0.0,0.0,0.0,0,Standby,0.0
00:14:16,0.0,0.0,0.0,0,Standby,0.0
00:14:41,0.0,0.0,0.0,0,Standby,0.0
00:15:05,0.0,0.0,0.0,0,Standby,0.0
00:15:29,0.0,0.0,0.0,0,Standby,0.0
00:15:57,0.0,0.0,0.0,0,Standby,0.0
00:16:24,0.0,0.0,0.0,0,Standby,0.0
00:16:49,0.0,0.0,0.0,0,Standby,0.0
00:17:14,0.0,0.0,0.0,0,Standby,0.0
00:17:38,0.0,0.0,0.0,0,Standby,0.0
00:17:56,0.0,0.0,0.0,0,Standby,0.0
00:18:21,0.0,0.0,0.0,0,Standby,0.0
00:18:48,0.0,0.0,0.0,0,Standby,0.0
00:19:13,0.0,0.0,0.0,0,Standby,0.0
00:19:42,0.0,0.0,0.0,0,Standby,0.0
00:20:06,0.0,0.0,0.0,0,Standby,0.0
00:20:31,0.0,0.0,0.0,0,Standby,0.0
00:20:54,0.0,0.0,0.0,0,Standby,0.0
00:21:19,0.0,0.0,0.0,0,Standby,0.0
00:21:46,0.0,0.0,0.0,0,Standby,0.0
00:22:11,0.0,0.0,0.0,0,Standby,0.0
00:22:35,0.0,0.0,0.0,0,Standby,0.0
00:23:02,0.0,0.0,0.0,0,Standby,0.0
00:23:24,0.0,0.0,0.0,0,Standby,0.0
00:23:54,0.0,0.0,0.0,0,Standby,0.0
00:24:19,0.0,0.0,0.0,0,Standby,0.0
00:24:43,0.0,0.0,0.0,0,Standby,0.0
00:25:07,0.0,0.0,0.0,0,Standby,0.0
00:25:31,0.0,0.0,0.0,0,Standby,0.0
00:25:56,0.0,0.0,0.0,0,Standby,0.0
00:26:21,0.0,0.0,0.0,0,Standby,0.0
00:26:45,0.0,0.0,0.0,0,Standby,0.0
00:27:10,0.0,0.0,0.0,0,Standby,0.0
00:27:34,0.0,0.0,0.0,0,Standby,0.0
00:28:01,0.0,0.0,0.0,0,Standby,0.0
00:28:26,0.0,0.0,0.0,0,Standby,0.0
00:28:50,0.0,0.0,0.0,0,Standby,0.0
00:29:18,0.0,0.0,0.0,0,Standby,0.0
00:29:41,0.0,0.0,0.0,0,Standby,0.0
00:30:03,0.0,0.0,0.0,0,Standby,0.0
00:30:30,0.0,0.0,0.0,0,Standby,0.0
00:00:29,0.0,0.0,0.0,0,Standby,0.0
00:00:51,0.0,0.0,0.0,0,Standby,0.0
00:01:12,0.0,0.0,0.0,0,Standby,0.0
00:01:37,0.0,0.0,0.0,0,Standby,0.0
00:02:02,0.0,0.0,0.0,0,Standby,0.0
00:02:29,0.0,0.0,0.0,0,Standby,0.0
00:02:54,0.0,0.0,0.0,0,Standby,0.0
00:03:18,0.0,0.0,0.0,0,Standby,0.0
00:03:42,0.0,0.0,0.0,0,Standby,0.0
00:04:03,0.0,0.0,0.0,0,Standby,0.0
00:04:25,0.0,0.0,0.0,0,Standby,0.0
