[2025-01-13 14:37:11] Charging - Power: 2500W
[2025-01-13 14:37:38] Charging - Power: 2500W
[2025-01-13 14:38:08] Charging - Power: 2500W
[2025-01-13 14:38:36] Charging - Power: 2500W
[2025-01-13 14:39:12] Charging - Power: 2500W
[2025-01-13 14:39:40] Charging - Power: 2500W
[2025-01-13 14:40:11] Charging - Power: 2500W
[2025-01-13 14:40:45] Charging - Power: 2500W
[2025-01-13 14:41:13] Charging - Power: 2500W
[2025-01-13 14:41:53] Charging - Power: 2500W
[2025-01-13 14:42:30] Charging - Power: 2500W
[2025-01-13 14:43:22] Charging - Power: 2500W
[2025-01-13 14:44:10] Charging - Power: 2500W
[2025-01-13 14:44:52] Charging - Power: 2500W
[2025-01-13 14:45:41] Charging - Power: 2500W
[2025-01-13 14:46:09] Charging - Power: 2500W
[2025-01-13 14:46:37] Charging - Power: 2500W
[2025-01-13 14:47:05] Charging - Power: 2500W
[2025-01-13 14:47:48] Charging - Power: 2500W
[2025-01-13 14:48:28] Charging - Power: 2500W
[2025-01-13 14:48:58] Charging - Power: 2500W
[2025-01-13 14:49:53] Charging - Power: 2480W
[2025-01-13 14:50:33] Charging - Power: 2464W
[2025-01-13 14:51:01] Charging - Power: 2457W
[2025-01-13 14:51:28] Charging - Power: 2442W
[2025-01-13 14:51:59] Charging - Power: 2400W
[2025-01-13 14:52:36] Charging - Power: 2382W
[2025-01-13 14:53:22] Charging - Power: 2351W
[2025-01-13 14:54:02] Charging - Power: 2319W
[2025-01-13 14:54:29] Charging - Power: 2303W
[2025-01-13 14:55:06] Charging - Power: 2284W
[2025-01-13 14:55:43] Charging - Power: 2238W
[2025-01-13 14:56:14] Charging - Power: 2225W
[2025-01-13 14:56:48] Charging - Power: 2195W
[2025-01-13 14:57:30] Charging - Power: 2157W
[2025-01-13 14:58:07] Charging - Power: 2137W
[2025-01-13 14:58:35] Charging - Power: 2109W
[2025-01-13 14:59:16] Charging - Power: 2061W
[2025-01-13 14:59:57] Charging - Power: 2032W
[2025-01-13 15:00:34] Charging - Power: 1998W
[2025-01-13 15:01:05] Charging - Power: 1979W
[2025-01-13 15:01:42] Charging - Power: 1935W
[2025-01-13 15:02:10] Charging - Power: 1916W
[2025-01-13 15:02:43] Charging - Power: 1890W
[2025-01-13 15:03:17] Charging - Power: 1851W
[2025-01-13 15:03:45] Charging - Power: 1831W
[2025-01-13 15:04:20] Charging - Power: 1794W
[2025-01-13 15:04:53] Charging - Power: 1744W
[2025-01-13 15:05:24] Charging - Power: 1740W
[2025-01-13 15:05:54] Charging - Power: 1685W
[2025-01-13 15:06:22] Charging - Power: 1671W
[2025-01-13 15:06:50] Charging - Power: 1633W
[2025-01-13 15:07:30] Charging - Power: 1612W
[2025-01-13 15:08:07] Charging - Power: 1569W
[2025-01-13 15:08:47] Charging - Power: 1503W
[2025-01-13 15:09:26] Charging - Power: 1460W
[2025-01-13 15:10:01] Charging - Power: 1427W
[2025-01-13 15:10:40] Charging - Power: 1388W
[2025-01-13 15:11:07] Charging - Power: 1358W
[2025-01-13 15:11:50] Charging - Power: 1296W
[2025-01-13 15:12:28] Charging - Power: 1272W
[2025-01-13 15:13:05] Charging - Power: 1217W
[2025-01-13 15:13:33] Charging - Power: 1193W
[2025-01-13 15:14:07] Charging - Power: 1147W
[2025-01-13 15:14:44] Charging - Power: 1112W
[2025-01-13 15:15:32] Charging - Power: 1051W
[2025-01-13 15:16:06] Charging - Power: 1028W
[2025-01-13 15:16:35] Charging - Power: 995W
[2025-01-13 15:17:18] Charging - Power: 930W
[2025-01-13 15:17:55] Charging - Power: 904W
[2025-01-13 15:18:23] Charging - Power: 880W
[2025-01-13 15:19:03] Charging - Power: 838W
[2025-01-13 15:19:40] Charging - Power: 799W
[2025-01-13 15:20:17] Charging - Power: 764W
[2025-01-13 15:20:45] Charging - Power: 730W
[2025-01-13 15:21:25] Charging - Power: 701W
[2025-01-13 15:22:02] Charging - Power: 669W
[2025-01-13 15:22:30] Charging - Power: 642W
[2025-01-13 15:23:01] Charging - Power: 609W
[2025-01-13 15:23:45] Charging - Power: 595W
[2025-01-13 15:24:19] Charging - Power: 564W
[2025-01-13 15:24:52] Charging - Power: 530W
[2025-01-13 15:25:20] Charging - Power: 511W
[2025-01-13 15:25:51] Charging - Power: 503W
[2025-01-13 15:26:21] Charging - Power: 469W
[2025-01-13 15:26:55] Charging - Power: 461W
[2025-01-13 15:27:29] Charging - Power: 419W
[2025-01-13 15:28:03] Charging - Power: 412W
[2025-01-13 15:28:42] Charging - Power: 391W
[2025-01-13 15:29:37] Charging - Power: 357W
[2025-01-13 15:30:23] Charging - Power: 340W
[2025-01-13 15:31:05] Charging - Power: 332W
[2025-01-13 15:31:43] Charging - Power: 317W
[2025-01-13 15:32:10] Charging - Power: 302W
[2025-01-13 15:32:38] Charging - Power: 284W
[2025-01-13 15:33:09] Charging - Power: 291W
[2025-01-13 15:33:43] Charging - Power: 257W
[2025-01-13 15:34:29] Charging - Power: 253W
[2025-01-13 15:35:21] Charging - Power: 240W
[2025-01-13 15:35:49] Charging - Power: 224W
[2025-01-13 15:36:31] Charging - Power: 213W
[2025-01-13 15:36:59] Charging - Power: 209W
[2025-01-13 15:37:35] Charging - Power: 195W
[2025-01-13 15:38:03] Charging - Power: 203W
[2025-01-13 15:38:44] Charging - Power: 185W
[2025-01-13 15:39:19] Charging - Power: 182W
[2025-01-13 15:39:47] Charging - Power: 173W
[2025-01-13 15:40:15] Charging - Power: 171W
[2025-01-13 15:40:54] Charging - Power: 162W
[2025-01-13 15:41:26] Charging - Power: 154W
[2025-01-13 15:42:04] Charging - Power: 143W
[2025-01-13 15:42:32] Charging - Power: 152W
[2025-01-13 15:43:09] Charging - Power: 130W
[2025-01-13 15:43:55] Charging - Power: 131W
[2025-01-13 15:44:26] Charging - Power: 136W
[2025-01-13 15:45:00] Charging - Power: 126W
[2025-01-13 15:45:43] Charging - Power: 118W
[2025-01-13 15:46:14] Charging - Power: 125W
[2025-01-13 15:46:44] Charging - Power: 115W
[2025-01-13 15:47:12] Charging - Power: 0W
[2025-01-13 15:47:49] Charging - Power: 0W
[2025-01-13 15:48:22] Charging - Power: 0W
