hour,minute,SoC
5,0,26.67608191
5,30,22.29729986
6,0,20.59810084
6,30,15.04152607
7,0,12.94035825
7,30,12.47496315
8,0,9.934113449
8,30,6.974576137
8,0,3.209841456
8,30,1.166735319
